,state,cpus,alloc_cpus,cpu_load,real_memory,alloc_mem,free_mem
compute-a-16-28,ALLOCATED,32,32,2795,257548,65536,88741
compute-a-16-29,ALLOCATED,32,32,3201,257548,46080,32352
compute-a-16-30,ALLOCATED,32,32,3226,257548,46080,1259
compute-a-16-31,ALLOCATED,32,32,3217,257548,65536,42658
compute-a-16-32,ALLOCATED,32,32,3209,257548,65536,47075
compute-a-16-33,ALLOCATED,32,32,3206,257548,65536,38878
compute-a-16-34,ALLOCATED,32,32,2500,257548,53248,3334
compute-a-16-35,ALLOCATED,32,32,2233,257548,106864,1149
compute-a-16-36,ALLOCATED,32,32,2919,257548,169872,109292
compute-a-16-37,MIXED+COMPLETING,32,21,3001,257548,163904,22108
compute-a-16-38,ALLOCATED,32,32,2924,257548,248544,1016
compute-a-16-39,ALLOCATED,32,32,3032,257548,179800,1589
compute-a-16-40,ALLOCATED,32,32,2506,257548,148524,60720
compute-a-16-41,MIXED,32,29,2869,257548,163908,41056
compute-a-16-42,ALLOCATED,32,32,1720,257548,31076,71609
compute-a-16-43,ALLOCATED,32,32,3227,257548,148668,67698
compute-a-16-44,MIXED+COMPLETING,32,28,7713,257548,248300,18443
compute-a-16-45,ALLOCATED,32,32,1053,257548,34288,4040
compute-a-16-46,ALLOCATED,32,32,2456,257548,75296,39181
compute-a-16-47,ALLOCATED,32,32,4190,257548,27432,906
compute-a-16-48,ALLOCATED,32,32,3011,257548,170510,23919
compute-a-16-49,ALLOCATED,32,32,5895,257548,92224,134232
compute-a-16-50,IDLE+COMPLETING,32,0,201,257548,0,221171
compute-a-16-51,ALLOCATED,32,32,2722,257548,134144,86239
compute-a-16-52,ALLOCATED,32,32,3411,257548,112724,126120
compute-a-16-53,ALLOCATED,32,32,2769,257548,77276,83713
compute-a-16-54,ALLOCATED,32,32,2616,257548,84468,52367
compute-a-16-55,ALLOCATED,32,32,5190,257548,230478,82171
compute-a-16-56,ALLOCATED,32,32,2007,257548,87776,74713
compute-a-16-57,ALLOCATED,32,32,2837,257548,55524,62717
compute-a-16-58,ALLOCATED,32,32,3027,257548,233652,20400
compute-a-16-59,ALLOCATED,32,32,2928,257548,190764,65858
compute-a-16-60,MIXED+DRAIN,32,2,454,257548,2048,63756
compute-a-16-61,MIXED+DRAIN,32,30,2287,257548,104448,704
compute-a-16-62,ALLOCATED,32,32,3521,257548,80608,11559
compute-a-16-63,ALLOCATED,32,32,3103,257548,223860,124795
compute-a-16-64,ALLOCATED,32,32,1988,257548,135152,7101
compute-a-16-65,ALLOCATED,32,32,2203,257548,133888,73772
compute-a-16-66,ALLOCATED,32,32,1059,257548,91636,127512
compute-a-16-67,ALLOCATED,32,32,2813,257548,108896,1423
compute-a-16-68,ALLOCATED,32,32,3263,257548,248108,633
compute-a-16-69,ALLOCATED,32,32,2410,257548,89588,33252
compute-a-16-70,ALLOCATED,32,32,3044,257548,213348,17347
compute-a-16-71,MIXED,32,26,801,257548,257524,14415
compute-a-16-72,ALLOCATED,32,32,5790,257548,189860,84763
compute-a-16-73,ALLOCATED,32,32,2861,257548,53748,101808
compute-a-16-74,ALLOCATED,32,32,4267,257548,120934,19644
compute-a-16-75,ALLOCATED,32,32,2614,257548,188416,42550
compute-a-16-76,ALLOCATED,32,32,3109,257548,127808,87045
compute-a-16-77,MIXED+COMPLETING,32,20,2039,257548,44032,34640
compute-a-16-78,ALLOCATED,32,32,18580,257548,184576,174965
compute-a-16-79,ALLOCATED,32,32,3181,257548,147044,34044
compute-a-16-80,MIXED+COMPLETING,32,28,2411,257548,58688,5772
compute-a-16-81,ALLOCATED,32,32,3214,257548,98004,1338
compute-a-16-82,ALLOCATED,32,32,2578,257548,68320,106844
compute-a-16-83,ALLOCATED,32,32,3001,257548,104160,114755
compute-a-16-84,ALLOCATED,32,32,5770,257548,255538,6844
compute-a-16-85,ALLOCATED,32,32,7875,257548,177152,135385
compute-a-16-86,ALLOCATED,32,32,2599,257548,62464,62015
compute-a-16-87,ALLOCATED,32,32,3022,257548,205824,141275
compute-a-16-88,ALLOCATED,32,32,2701,257548,62464,143921
compute-a-16-89,ALLOCATED,32,32,1873,257548,155504,136197
compute-a-16-90,ALLOCATED,32,32,2305,257548,59392,131625
compute-a-16-91,ALLOCATED,32,32,2929,257548,100472,50279
compute-a-16-92,ALLOCATED,32,32,2947,257548,71500,82849
compute-a-16-93,ALLOCATED,32,32,1602,257548,67224,88859
compute-a-16-94,ALLOCATED,32,32,3205,257548,60416,81912
compute-a-16-95,DOWN,32,0,13,257548,0,252744
compute-a-16-96,ALLOCATED,32,32,2085,257548,82960,42445
compute-a-16-97,ALLOCATED,32,32,2543,257548,49104,4716
compute-a-16-98,ALLOCATED,32,32,1802,257548,68168,178378
compute-a-16-99,MIXED,32,28,1653,257548,57200,81875
compute-a-16-100,ALLOCATED,32,32,2806,257548,178944,40097
compute-a-16-101,ALLOCATED,32,32,3215,257548,160176,17423
compute-a-16-102,ALLOCATED,32,32,2212,257548,197560,99001
compute-a-16-103,ALLOCATED,32,32,2807,257548,57644,113926
compute-a-16-104,ALLOCATED,32,32,2903,257548,253176,101256
compute-a-16-105,ALLOCATED,32,32,3112,257548,68084,84455
compute-a-16-106,ALLOCATED,32,32,5711,257548,219328,122509
compute-a-16-107,ALLOCATED,32,32,3122,257548,145914,1003
compute-a-16-108,IDLE+DRAIN,32,0,1,257548,0,251950
compute-a-16-109,ALLOCATED,32,32,2865,257548,100628,18993
compute-a-16-110,ALLOCATED,32,32,2012,257548,236928,15621
compute-a-16-111,ALLOCATED,32,32,2688,257548,65536,25458
compute-a-16-112,ALLOCATED,32,32,2645,257548,154914,13366
compute-a-16-113,DOWN*+DRAIN,32,0,,257548,0,
compute-a-16-114,MIXED+COMPLETING,32,30,2688,257548,181266,645
compute-a-16-115,ALLOCATED,32,32,3190,257548,122456,117402
compute-a-16-116,ALLOCATED,32,32,2201,257548,83680,94141
compute-a-16-117,ALLOCATED,32,32,3204,257548,57344,65474
compute-a-16-118,ALLOCATED,32,32,2834,257548,105972,18087
compute-a-16-119,ALLOCATED,32,32,3614,257548,215108,47581
compute-a-16-120,ALLOCATED,32,32,4661,257548,207268,2899
compute-a-16-121,ALLOCATED,32,32,6643,257548,195252,28411
compute-a-16-122,ALLOCATED,32,32,3059,257548,200024,37956
compute-a-16-123,ALLOCATED,32,32,2609,257548,190964,2045
compute-a-16-124,ALLOCATED,32,32,12455,257548,115176,63144
compute-a-16-125,ALLOCATED,32,32,2918,257548,91436,60040
compute-a-16-126,ALLOCATED,32,32,2245,257548,127520,82330
compute-a-16-127,ALLOCATED,32,32,3186,257548,104568,101894
compute-a-16-128,ALLOCATED,32,32,2517,257548,60892,88436
compute-a-16-129,ALLOCATED,32,32,2241,257548,81180,93582
compute-a-16-130,ALLOCATED,32,32,3431,257548,43744,118709
compute-a-16-131,MIXED,32,29,1631,257548,111464,641
compute-a-16-132,MIXED,32,30,3234,257548,51500,41667
compute-a-16-133,ALLOCATED,32,32,2713,257548,231424,48929
compute-a-16-134,ALLOCATED,32,32,1052,257548,101136,105250
compute-a-16-135,ALLOCATED,32,32,3214,257548,154272,78848
compute-a-16-136,ALLOCATED,32,32,3745,257548,72704,88250
compute-a-16-137,MIXED,32,20,3241,257548,81416,16507
compute-a-16-138,ALLOCATED,32,32,2613,257548,138096,41910
compute-a-16-139,ALLOCATED,32,32,2592,257548,87016,11294
compute-a-16-140,ALLOCATED,32,32,2442,257548,255200,65286
compute-a-16-141,ALLOCATED,32,32,3220,257548,126976,61601
compute-a-16-142,ALLOCATED,32,32,3129,257548,98304,112137
compute-a-16-143,ALLOCATED,32,32,2806,257548,198544,10398
compute-a-16-144,ALLOCATED,32,32,2478,257548,59712,6095
compute-a-16-145,ALLOCATED,32,32,2004,257548,147860,669
compute-a-16-146,MIXED,32,20,1786,257548,113980,667
compute-a-16-147,ALLOCATED,32,32,1390,257548,237508,38996
compute-a-16-148,ALLOCATED,32,32,3108,257548,166076,5376
compute-a-16-149,ALLOCATED,32,32,2825,257548,61440,122427
compute-a-16-150,ALLOCATED,32,32,2509,257548,93160,73346
compute-a-16-151,ALLOCATED,32,32,4076,257548,207920,80452
compute-a-16-152,ALLOCATED,32,32,2887,257548,65536,12196
compute-a-16-153,ALLOCATED,32,32,2968,257548,125952,45744
compute-a-16-154,ALLOCATED,32,32,1296,257548,73440,183516
compute-a-16-155,ALLOCATED,32,32,5934,257548,241860,10726
compute-a-16-156,ALLOCATED,32,32,3284,257548,46080,3263
compute-a-16-157,DOWN*+DRAIN,32,0,,257548,0,
compute-a-16-158,ALLOCATED,32,32,3218,257548,65536,84959
compute-a-16-159,ALLOCATED,32,32,3213,257548,65536,49071
compute-a-16-160,MIXED,32,20,2183,257548,146772,8939
compute-a-16-161,ALLOCATED,32,32,1907,257548,166552,14170
compute-a-16-162,ALLOCATED,32,32,1920,257548,253552,18170
compute-a-16-163,ALLOCATED,32,32,2901,257548,183936,21019
compute-a-16-164,ALLOCATED,32,32,2715,257548,257452,2644
compute-a-16-165,ALLOCATED,32,32,2319,257548,256380,626
compute-a-16-166,MIXED+COMPLETING,32,31,2501,257548,181440,7524
compute-a-16-167,ALLOCATED,32,32,1860,257548,58056,17027
compute-a-16-168,ALLOCATED,32,32,2163,257548,183644,5760
compute-a-16-169,ALLOCATED,32,32,3452,257548,254464,34220
compute-a-16-170,ALLOCATED,32,32,2529,257548,139024,53154
compute-a-16-171,ALLOCATED,32,32,802,257548,234748,626
compute-e-16-178,IDLE+DRAIN,28,0,657,257548,0,125636
compute-e-16-179,DOWN*,28,0,,257548,0,
compute-e-16-180,ALLOCATED,28,28,3160,257548,192464,664
compute-e-16-181,IDLE+DRAIN,28,0,53,257548,0,220670
compute-e-16-182,ALLOCATED,28,28,2699,257548,94208,84833
compute-e-16-183,MIXED+DRAIN,28,2,460,257548,2048,42179
compute-e-16-184,MIXED,28,25,1620,257548,102112,15882
compute-e-16-185,ALLOCATED,28,28,2343,257548,86016,1176
compute-e-16-186,ALLOCATED,28,28,2619,257548,79872,47728
compute-e-16-187,DOWN*,28,0,,257548,0,
compute-e-16-188,ALLOCATED,28,28,2655,257548,102376,1101
compute-e-16-189,MIXED+COMPLETING,28,16,1738,257548,17384,24169
compute-e-16-190,ALLOCATED,28,28,2347,257548,147456,731
compute-e-16-191,ALLOCATED,28,28,2835,257548,96256,96852
compute-e-16-192,ALLOCATED,28,28,4106,257548,163244,8120
compute-e-16-193,MIXED,28,26,2431,257548,129952,33269
compute-e-16-198,MIXED,28,26,1122,257548,188252,743
compute-e-16-199,MIXED,28,23,2541,257548,51972,12705
compute-e-16-200,MIXED,28,22,10711,257548,74432,4731
compute-e-16-201,DOWN*,28,0,,257548,0,
compute-e-16-202,ALLOCATED,28,28,3375,257548,198752,740
compute-e-16-203,DOWN*,28,0,,257548,0,
compute-e-16-204,MIXED,28,20,557,257548,62792,21304
compute-e-16-205,MIXED,28,24,2687,257548,163992,18697
compute-e-16-206,MIXED,28,27,5818,257548,194744,742
compute-e-16-207,MIXED,28,17,1068,257548,55272,4343
compute-e-16-208,MIXED,28,27,5415,257548,219148,11858
compute-e-16-209,MIXED,28,23,456,257548,125720,93743
compute-e-16-210,MIXED,28,27,2437,257548,206058,735
compute-e-16-211,ALLOCATED,28,28,1697,257548,174418,8160
compute-e-16-212,MIXED,28,26,355,257548,15372,131398
compute-e-16-213,MIXED,28,27,3153,257548,159800,11363
compute-e-16-214,ALLOCATED,28,28,1958,257548,249472,45770
compute-e-16-216,MIXED,28,26,2230,257548,255636,36888
compute-e-16-217,ALLOCATED,28,28,3240,257548,145408,17939
compute-e-16-218,ALLOCATED,28,28,3520,257548,156648,47227
compute-e-16-219,MIXED,28,27,1920,257548,249856,32231
compute-e-16-220,MIXED,28,27,964,257548,102256,53583
compute-e-16-221,ALLOCATED,28,28,3975,257548,167936,714
compute-e-16-222,ALLOCATED,28,28,521,257548,38912,116316
compute-e-16-223,MIXED,28,25,2034,257548,243712,55555
